,Commodity Year,Locations State Code,Location State Abbreviation,Location County Code,Location County Name,Commodity Code,Commodity Name,Insurance Plan Code,Insurance Plan Abbreviation,Stage Code,Damage Cause Code,Damage Cause Description,Month of Loss,Month of Loss Abbreviation,Determined Acres,Indemnity Amount
40,2018,1,AL,19,Cherokee,41,CORN,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,32.8,1002.0
41,2018,1,AL,19,Cherokee,41,CORN,2,RP,R,44,Cold Wet Weather,4,APR,24.25,741.0
42,2018,1,AL,19,Cherokee,41,CORN,2,RP,R,44,Cold Wet Weather,5,MAY,24.25,741.0
43,2018,1,AL,19,Cherokee,81,SOYBEANS,2,RP,R,11,Drought,5,MAY,97.2,2942.0
44,2018,1,AL,19,Cherokee,81,SOYBEANS,2,RP,R,93,Wildlife,5,MAY,48.4,1465.0
45,2018,1,AL,21,Chilton,9999,All Other Crops,90,APH,H,41,Frost,4,APR,25.65,19085.0
46,2018,1,AL,21,Chilton,9999,All Other Crops,90,APH,H,42,Freeze,3,MAR,266.2,139183.0
47,2018,1,AL,21,Chilton,9999,All Other Crops,90,APH,UH,42,Freeze,1,JAN,18.2,22992.0
48,2018,1,AL,21,Chilton,9999,All Other Crops,90,APH,UH,42,Freeze,3,MAR,58.8,65268.0
49,2018,1,AL,23,Choctaw,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,3.0
50,2018,1,AL,23,Choctaw,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,8,AUG,0.0,1425.0
51,2018,1,AL,27,Clay,9999,All Other Crops,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,118.2,3578.0
52,2018,1,AL,27,Clay,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,3737.0
53,2018,1,AL,29,Cleburne,9999,All Other Crops,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,4.72,144.0
54,2018,1,AL,29,Cleburne,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,4146.0
55,2018,1,AL,29,Cleburne,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,2268.0
56,2018,1,AL,31,Coffee,11,WHEAT,2,RP,H,31,Excess Moisture/Precipitation/Rain,6,JUN,119.5,194.0
57,2018,1,AL,31,Coffee,11,WHEAT,2,RP,H,31,Excess Moisture/Precipitation/Rain,4,APR,107.2,1524.0
58,2018,1,AL,31,Coffee,16,OATS,90,APH,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,10.264,599.6
59,2018,1,AL,31,Coffee,16,OATS,90,APH,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,15.396,899.4
60,2018,1,AL,31,Coffee,41,CORN,2,RP,R,31,Excess Moisture/Precipitation/Rain,3,MAR,79.5,2430.0
61,2018,1,AL,31,Coffee,75,PEANUTS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,282.0,26790.0
62,2018,1,AL,31,Coffee,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,35.0,3325.0
63,2018,1,AL,31,Coffee,75,PEANUTS,1,YP,UH,31,Excess Moisture/Precipitation/Rain,9,SEP,15.0,4628.0
64,2018,1,AL,31,Coffee,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,95.0,9025.0
65,2018,1,AL,31,Coffee,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,13987.0
66,2018,1,AL,31,Coffee,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,5,MAY,0.0,1617.0
67,2018,1,AL,31,Coffee,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,10,OCT,0.0,1390.0
68,2018,1,AL,31,Coffee,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,14778.0
69,2018,1,AL,31,Coffee,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,571.0
70,2018,1,AL,33,Colbert,11,WHEAT,2,RP,P2,31,Excess Moisture/Precipitation/Rain,4,APR,14.5,2987.0
71,2018,1,AL,33,Colbert,11,WHEAT,2,RP,P2,31,Excess Moisture/Precipitation/Rain,3,MAR,14.5,2987.0
72,2018,1,AL,33,Colbert,11,WHEAT,2,RP,UH,44,Cold Wet Weather,2,FEB,55.0,4807.0
73,2018,1,AL,33,Colbert,21,COTTON,2,RP,P2,31,Excess Moisture/Precipitation/Rain,4,APR,84.6,17974.0
74,2018,1,AL,33,Colbert,21,COTTON,2,RP,P2,31,Excess Moisture/Precipitation/Rain,3,MAR,84.6,17974.0
75,2018,1,AL,33,Colbert,41,CORN,2,RP,P2,31,Excess Moisture/Precipitation/Rain,4,APR,41.14875,8981.5
76,2018,1,AL,33,Colbert,41,CORN,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,58.92,1801.0
77,2018,1,AL,33,Colbert,41,CORN,2,RP,P2,31,Excess Moisture/Precipitation/Rain,3,MAR,23.75,5884.5
78,2018,1,AL,33,Colbert,41,CORN,2,RP,P2,31,Excess Moisture/Precipitation/Rain,5,MAY,17.39875,3097.0
79,2018,1,AL,33,Colbert,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,258.9,7837.0
80,2018,1,AL,33,Colbert,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,10,OCT,0.0,17995.0
81,2018,1,AL,35,Conecuh,11,WHEAT,2,RP,H,11,Drought,5,MAY,28.16,1915.0
82,2018,1,AL,35,Conecuh,16,OATS,90,APH,H,11,Drought,5,MAY,74.12,5667.0
83,2018,1,AL,35,Conecuh,21,COTTON,2,RP,P2,31,Excess Moisture/Precipitation/Rain,6,JUN,30.275,3214.75
84,2018,1,AL,35,Conecuh,21,COTTON,2,RP,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,115.1,76114.0
85,2018,1,AL,35,Conecuh,21,COTTON,2,RP,P2,31,Excess Moisture/Precipitation/Rain,5,MAY,90.825,9644.25
86,2018,1,AL,35,Conecuh,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,3536.0
87,2018,1,AL,35,Conecuh,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,5,MAY,0.0,5228.0
88,2018,1,AL,35,Conecuh,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,7,JUL,0.0,4789.0
89,2018,1,AL,35,Conecuh,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,1640.0
90,2018,1,AL,39,Covington,11,WHEAT,2,RP,H,31,Excess Moisture/Precipitation/Rain,6,JUN,213.6,8579.0
91,2018,1,AL,39,Covington,16,OATS,90,APH,UH,61,Wind/Excess Wind,6,JUN,57.4,1290.0
92,2018,1,AL,39,Covington,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,90.0,8550.0
93,2018,1,AL,39,Covington,75,PEANUTS,2,RP,UH,93,Wildlife,7,JUL,40.0,8421.0
94,2018,1,AL,39,Covington,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,1968.0
95,2018,1,AL,39,Covington,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,10,OCT,0.0,635.0
96,2018,1,AL,39,Covington,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,27255.0
97,2018,1,AL,39,Covington,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,13910.0
98,2018,1,AL,39,Covington,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,5,MAY,0.0,7627.0
99,2018,1,AL,41,Crenshaw,75,PEANUTS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,58.2,5529.0
100,2018,1,AL,41,Crenshaw,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,5,MAY,0.0,218.0
101,2018,1,AL,41,Crenshaw,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,1362.0
102,2018,1,AL,41,Crenshaw,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,210.0
103,2018,1,AL,45,Dale,11,WHEAT,2,RP,UH,11,Drought,12,DEC,14.0,579.5
104,2018,1,AL,45,Dale,11,WHEAT,2,RP,UH,11,Drought,11,NOV,4.0,166.0
105,2018,1,AL,45,Dale,11,WHEAT,2,RP,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,8.0,330.5
106,2018,1,AL,45,Dale,16,OATS,90,APH,UH,11,Drought,12,DEC,6.8,213.2
107,2018,1,AL,45,Dale,16,OATS,90,APH,UH,11,Drought,11,NOV,10.2,319.8
108,2018,1,AL,45,Dale,16,OATS,90,APH,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,9.1,278.5
109,2018,1,AL,45,Dale,16,OATS,90,APH,UH,31,Excess Moisture/Precipitation/Rain,12,DEC,9.1,278.5
110,2018,1,AL,45,Dale,41,CORN,2,RP,H,11,Drought,6,JUN,18.8,1256.0
111,2018,1,AL,45,Dale,41,CORN,2,RP,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,33.6,5143.8
112,2018,1,AL,45,Dale,41,CORN,2,RP,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,22.4,3429.2
113,2018,1,AL,45,Dale,75,PEANUTS,1,YP,R,11,Drought,5,MAY,175.2,16646.0
114,2018,1,AL,45,Dale,75,PEANUTS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,359.4,34145.0
115,2018,1,AL,45,Dale,75,PEANUTS,1,YP,P2,31,Excess Moisture/Precipitation/Rain,5,MAY,221.25,47916.5
116,2018,1,AL,45,Dale,75,PEANUTS,1,YP,P2,31,Excess Moisture/Precipitation/Rain,6,JUN,54.95,11228.5
117,2018,1,AL,45,Dale,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,156.7,14886.0
118,2018,1,AL,45,Dale,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,520.0
119,2018,1,AL,45,Dale,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,3285.0
120,2018,1,AL,45,Dale,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,968.0
121,2018,1,AL,45,Dale,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,10,OCT,0.0,1112.0
122,2018,1,AL,47,Dallas,51,GRAIN SORGHUM,2,RP,H,31,Excess Moisture/Precipitation/Rain,8,AUG,77.21,5700.0
123,2018,1,AL,47,Dallas,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,97.4,2847.5
124,2018,1,AL,47,Dallas,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,199.71,5944.5
125,2018,1,AL,47,Dallas,81,SOYBEANS,2,RP,R,81,Plant Disease,5,MAY,183.08,5542.4
126,2018,1,AL,47,Dallas,81,SOYBEANS,2,RP,R,93,Wildlife,5,MAY,45.77,1385.6
127,2018,1,AL,47,Dallas,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,7346.0
128,2018,1,AL,47,Dallas,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,4640.0
129,2018,1,AL,47,Dallas,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,744.0
130,2018,1,AL,47,Dallas,9999,All Other Crops,76,WFRP,,93,Wildlife,5,MAY,0.0,774.5
131,2018,1,AL,47,Dallas,9999,All Other Crops,76,WFRP,,93,Wildlife,6,JUN,0.0,774.5
132,2018,1,AL,49,De Kalb,41,CORN,2,RP,R,31,Excess Moisture/Precipitation/Rain,4,APR,78.0,2384.0
133,2018,1,AL,49,De Kalb,81,SOYBEANS,2,RP,R,11,Drought,4,APR,110.8,3353.5
134,2018,1,AL,49,De Kalb,81,SOYBEANS,2,RP,R,43,Cold Winter,4,APR,110.8,3353.5
135,2018,1,AL,49,De Kalb,84,POTATOES,90,APH,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,76.5,114510.0
136,2018,1,AL,49,De Kalb,84,POTATOES,90,APH,H,31,Excess Moisture/Precipitation/Rain,5,MAY,6.5,10873.5
137,2018,1,AL,49,De Kalb,84,POTATOES,90,APH,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,18.37,33405.23
138,2018,1,AL,49,De Kalb,84,POTATOES,90,APH,H,31,Excess Moisture/Precipitation/Rain,6,JUN,23.8,19911.5
139,2018,1,AL,49,De Kalb,84,POTATOES,90,APH,UH,31,Excess Moisture/Precipitation/Rain,4,APR,14.63,28196.77
140,2018,1,AL,49,De Kalb,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,7,JUL,0.0,56.0
141,2018,1,AL,49,De Kalb,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,24230.0
142,2018,1,AL,49,De Kalb,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,10,OCT,0.0,12699.0
143,2018,1,AL,51,Elmore,11,WHEAT,2,RP,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,11.3,1141.0
144,2018,1,AL,51,Elmore,11,WHEAT,2,RP,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,11.3,1141.0
145,2018,1,AL,51,Elmore,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,531.0
146,2018,1,AL,51,Elmore,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,374.0
147,2018,1,AL,51,Elmore,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,162.0
148,2018,1,AL,53,Escambia,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,85.5,8123.0
149,2018,1,AL,53,Escambia,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,6166.0
150,2018,1,AL,53,Escambia,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,4895.0
151,2018,1,AL,55,Etowah,81,SOYBEANS,2,RP,R,93,Wildlife,5,MAY,34.9,1056.0
152,2018,1,AL,55,Etowah,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,260.0
153,2018,1,AL,55,Etowah,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,2148.0
154,2018,1,AL,55,Etowah,9999,All Other Crops,13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,8,AUG,0.0,902.0
155,2018,1,AL,59,Franklin,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,108.89,3296.0
156,2018,1,AL,59,Franklin,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,10,OCT,0.0,4164.0
157,2018,1,AL,61,Geneva,11,WHEAT,2,RP,UH,31,Excess Moisture/Precipitation/Rain,5,MAY,15.0,1608.0
158,2018,1,AL,61,Geneva,11,WHEAT,2,RP,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,15.0,1608.0
159,2018,1,AL,61,Geneva,21,COTTON,2,RP,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,74.0,9475.0
160,2018,1,AL,61,Geneva,41,CORN,2,RP,H,11,Drought,7,JUL,204.0,41674.0
161,2018,1,AL,61,Geneva,41,CORN,2,RP,H,31,Excess Moisture/Precipitation/Rain,7,JUL,46.0,8498.0
162,2018,1,AL,61,Geneva,41,CORN,1,YP,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,11.0,1979.0
163,2018,1,AL,61,Geneva,41,CORN,2,RP,H,31,Excess Moisture/Precipitation/Rain,6,JUN,46.0,8498.0
164,2018,1,AL,61,Geneva,41,CORN,2,RP,UH,61,Wind/Excess Wind,9,SEP,23.0,3197.0
165,2018,1,AL,61,Geneva,41,CORN,2,RP,R,93,Wildlife,4,APR,35.0,1070.0
166,2018,1,AL,61,Geneva,75,PEANUTS,2,RP,R,11,Drought,5,MAY,21.0,1995.0
167,2018,1,AL,61,Geneva,75,PEANUTS,1,YP,R,11,Drought,6,JUN,87.0,8265.0
168,2018,1,AL,61,Geneva,75,PEANUTS,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,20.0,1900.0
169,2018,1,AL,61,Geneva,75,PEANUTS,1,YP,P2,31,Excess Moisture/Precipitation/Rain,6,JUN,72.44,18047.0
170,2018,1,AL,61,Geneva,75,PEANUTS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,227.0,21565.0
171,2018,1,AL,61,Geneva,75,PEANUTS,2,RP,R,93,Wildlife,5,MAY,50.0,4750.0
172,2018,1,AL,61,Geneva,81,SOYBEANS,2,RP,R,11,Drought,6,JUN,119.9,3629.0
173,2018,1,AL,61,Geneva,81,SOYBEANS,2,RP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,31.0,938.0
174,2018,1,AL,61,Geneva,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,6,JUN,0.0,7453.0
175,2018,1,AL,61,Geneva,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,9,SEP,0.0,1981.0
176,2018,1,AL,61,Geneva,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,10,OCT,0.0,4647.0
177,2018,1,AL,61,Geneva,88,"PASTURE,RANGELAND,FORAGE",13,RI,FL,55,ARPI/SCO/STAX/MP Crops Only,4,APR,0.0,4383.0
178,2018,1,AL,63,Greene,9999,All Other Crops,2,RP,UH,31,Excess Moisture/Precipitation/Rain,3,MAR,22.9,2868.0
179,2018,1,AL,63,Greene,9999,All Other Crops,2,RP,P,31,Excess Moisture/Precipitation/Rain,3,MAR,74.92,0.0
180,2018,1,AL,63,Greene,9999,All Other Crops,2,RP,P2,44,Cold Wet Weather,4,APR,229.99,31189.0
181,2018,1,AL,65,Hale,9999,All Other Crops,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,165.32,5004.0
182,2018,1,AL,65,Hale,9999,All Other Crops,2,RP,R,31,Excess Moisture/Precipitation/Rain,4,APR,233.56,7070.0
183,2018,1,AL,67,Henry,11,WHEAT,2,RP,H,31,Excess Moisture/Precipitation/Rain,7,JUL,23.0,1029.0
184,2018,1,AL,67,Henry,11,WHEAT,1,YP,H,31,Excess Moisture/Precipitation/Rain,5,MAY,91.9,11373.0
185,2018,1,AL,67,Henry,16,OATS,90,APH,H,31,Excess Moisture/Precipitation/Rain,5,MAY,136.5,11500.0
186,2018,1,AL,67,Henry,41,CORN,2,RP,H,11,Drought,6,JUN,19.3,1784.0
187,2018,1,AL,67,Henry,41,CORN,1,YP,H,31,Excess Moisture/Precipitation/Rain,8,AUG,9.75,809.0
188,2018,1,AL,67,Henry,41,CORN,1,YP,H,93,Wildlife,8,AUG,9.75,809.0
189,2018,1,AL,67,Henry,51,GRAIN SORGHUM,2,RP,UH,11,Drought,5,MAY,4.95,372.0
190,2018,1,AL,67,Henry,51,GRAIN SORGHUM,2,RP,H,11,Drought,5,MAY,21.55,1198.5
191,2018,1,AL,67,Henry,51,GRAIN SORGHUM,2,RP,H,31,Excess Moisture/Precipitation/Rain,6,JUN,21.55,1198.5
192,2018,1,AL,67,Henry,51,GRAIN SORGHUM,2,RP,UH,31,Excess Moisture/Precipitation/Rain,6,JUN,4.95,372.0
193,2018,1,AL,67,Henry,75,PEANUTS,1,YP,R,11,Drought,5,MAY,125.8,11951.0
194,2018,1,AL,67,Henry,75,PEANUTS,2,RP,UH,12,Heat,6,JUN,9.35,2783.0
195,2018,1,AL,67,Henry,75,PEANUTS,2,RP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,67.3,6394.0
196,2018,1,AL,67,Henry,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,6,JUN,34.0,3230.0
197,2018,1,AL,67,Henry,75,PEANUTS,1,YP,R,31,Excess Moisture/Precipitation/Rain,5,MAY,233.8,22212.0
198,2018,1,AL,67,Henry,75,PEANUTS,2,RP,UH,93,Wildlife,7,JUL,7.65,2277.0
199,2018,1,AL,67,Henry,75,PEANUTS,1,YP,R,93,Wildlife,6,JUN,11.0,1045.0
